formula,pred_stability,pred_bandgap,non_metal_confidence,promise_score
Sn7TeAs11,0.1332993842580793,0.0,0.353380529896932,0.0
Sn6TeAs11,0.15447728590085016,0.0,0.17801036818731186,0.0
Sn6TeAs10,0.13535868339516213,0.0,0.329715728160454,0.0
Sn6TeAs9,0.12983504384101388,0.0,0.48673858884797505,0.0
Sn5TeAs9,0.14318567664772316,0.0,0.24791555225422368,0.0
Sn5TeAs8,0.13207104242289325,0.0,0.38359423003285054,0.0
Sn10As16H,0.13608042390542585,0.0,0.40844046000319756,0.0
Sn4TeAs7,0.13159953073504524,0.0,0.30354852496692364,0.0
Sn4TeAs6,0.12072679014755346,0.0,0.4726666342189676,0.0
Sn3TeAs6,0.14307396443678908,0.0,0.18842009512503688,0.0
Sn3TeAs5,0.12320408547802907,0.0,0.4860992444671792,0.0
Sn2TeAs5,0.15813249613030772,0.0,0.1713920948271478,0.0
Sn2TeAs4,0.17384737392989766,0.0,0.27574452730954113,0.0
Sn2TeAs3,0.30394679335646224,0.0,0.4260208979449296,0.0
SnTeAs3,0.1256184697721907,0.0,0.18105286479926075,0.0
SnTeAs2,0.49484970653929167,1.9195114169652858,0.6200552573970928,0.0
SnTeAs,0.27713966027460224,0.0,0.4865064136225078,0.0
Sn4TeAs8,0.15635296387746045,0.0,0.17912316015319263,0.0
FeSn3As5,0.12324725612093282,0.0,0.4898910498716256,0.0
FeSn2As5,0.1581746290168765,0.0,0.3013996496188981,0.0
Fe(SnAs2)2,0.17388950681646645,0.0,0.39126815277729077,0.0
FeSn2As3,0.30627787829878056,1.65620912544903,0.6043136334573099,0.0
FeSnAs3,0.1276925057234643,0.0,0.41861428961968516,0.0
FeSnAs2,0.5099997131704559,1.8809646479861668,0.776676367058561,0.0
FeSnAs,0.29526474325389845,1.9394040422267937,0.7129217993083112,0.0
Cu(Sn5As8)2,0.1611478123235708,0.0,0.07183558804418821,0.0
CuSn9As16,0.17969825401403863,0.0,0.03623059335848611,0.0
Sn2As3H,0.2789462708098633,1.9082480710658927,0.6695160770698483,0.0
CuSn8As15,0.18345386118769125,0.0,0.025811015287573236,0.0
Cu(Sn4As7)2,0.18515668598633228,0.0,0.025331483217241324,0.0
CuSn8As13,0.16667280417309446,0.0,0.05896989293499011,0.0
CuSn7As13,0.18385585453445652,0.0,0.02861233983641165,0.0
CuSn7As12,0.1722096641751975,0.0,0.037306007910077654,0.0
CuSn7As11,0.16081912867976272,0.0,0.08549785703200108,0.0
CuSn6As11,0.18242855278710987,0.0,0.018857819358355732,0.0
Cu(Sn3As5)2,0.1601342009026087,0.0,0.035013288219031824,0.0
Cu(SnAs2)5,0.17987890059516767,0.0,0.020644454963042125,0.0
CuSn5As9,0.1680771243858642,0.0,0.01031638475712271,0.0
Cu(Sn3As5)3,0.18383812143431683,0.0,0.027303440205669216,0.0
SnAs3H,0.10234975647308901,0.0,0.4650673985607541,0.0
SnAs2H,0.48590545021729215,2.0197302543267472,0.8348386460183529,0.0
SnAsH,0.27155172854609305,2.207658041326846,0.6795892421510009,0.0
SnH,0.12056922752743138,2.251797613928244,0.5396260523896383,0.0
Fe(Sn5As8)2,0.1372687467541604,0.0,0.3903804618869928,0.0
FeSn9As16,0.15479830483760612,0.0,0.2506771106403465,0.0
Fe(Sn3As5)3,0.15379978646156767,0.0,0.24173768235024495,0.0
FeSn9As14,0.1343203452739627,0.0,0.4187727875462779,0.0
Fe(Sn4As7)2,0.15511835101358312,0.0,0.22790721106629297,0.0
FeSn8As13,0.13663446920034567,0.0,0.3982186084965704,0.0
Fe(SnAs2)3,0.1432714591019629,0.0,0.22483339145731862,0.0
FeSn7As12,0.14211008732335284,0.0,0.3056155227253817,0.0
FeSn7As11,0.13334222877824553,0.0,0.3993368566842005,0.0
FeSn6As11,0.1545201304210164,0.0,0.2337339319657843,0.0
Fe(Sn3As5)2,0.13398322078956304,0.0,0.3353607074016687,0.0
Fe(SnAs2)5,0.1543972845964647,0.0,0.23970986293352814,0.0
FeSn5As9,0.14181021404212427,0.0,0.2874854722106239,0.0
FeSn5As8,0.13132658492133525,0.0,0.44035255483865465,0.0
Fe(SnAs2)4,0.1556085063759024,0.0,0.21421399900710236,0.0
FeSn4As7,0.1311821385391166,0.0,0.35998947880027854,0.0
Fe(Sn2As3)2,0.12034531443059146,0.0,0.4916486531779236,0.0
FeSn7As13,0.15475893962919035,0.0,0.2506771106403465,0.0
Sn7As13S,0.16378763445681052,0.0,0.17930973348499057,0.0
Sn7As12S,0.1511387821509728,0.0,0.22326760949067193,0.0
Sn7As11S,0.14328981541260957,0.0,0.30274595745054733,0.0
Sn6As11S,0.16446771705538046,0.0,0.16612086343817145,0.0
Sn6As10S,0.14239299753870227,0.0,0.25907188035204254,0.0
Sn6As9S,0.13686935798455405,0.0,0.4099330115142287,0.0
Sn5As9S,0.15507000513392033,0.0,0.21850698129817325,0.0
Sn5As8S,0.1441950265785355,0.0,0.31313477930924716,0.0
Sn4As8S,0.167646619157192,0.0,0.1800698310586819,0.0
Sn5As8W,0.15031856276607908,2.0673849279755707,0.5145717890936821,0.0
Sn4As6S,0.1320942212834313,0.0,0.45910642037831206,0.0
Sn3As6S,0.15474305110637457,0.0,0.20290267444512333,0.0
Sn3As5S,0.11452743932165027,0.0,0.41600912311904814,0.0
Sn3As4S,0.20605614316210374,0.0,0.45323799214314564,0.0
Sn2As4S,0.15306328630370908,0.0,0.2703450973525475,0.0
Sn2As3S,0.2917269754374906,0.0,0.4482029068964434,0.0
SnAs3S,0.10833277180822015,0.0,0.22140137713505947,0.0
SnAs2S,0.4786169556734486,1.9227833476509577,0.6457103835138116,0.0
SnAsS,0.2292861042673686,0.0,0.49514061746240834,0.0
Hf(Sn5As8)2,0.1361236325486678,0.0,0.33120553188450674,0.0
Sn4As7S,0.14348779003532575,0.0,0.298474349635551,0.0
Sn6As10N,0.14434618457919493,0.0,0.24253723442031094,0.0
Sn5As10N,0.16476024838609668,0.0,0.20116198990658996,0.0
Sn5As9N,0.1506661148967389,0.0,0.24371757240646807,0.0
Sn5As8N,0.13780671995470492,0.0,0.34445105661794473,0.0
Sn4As8N,0.16261903561842808,0.0,0.19070646778604272,0.0
Sn4As7N,0.1373352082668569,0.0,0.28902176168461546,0.0
Sn4As6N,0.1264624676793653,0.0,0.455337912918106,0.0
Sn3As6N,0.1537827489019829,0.0,0.20045779170805234,0.0
Sn3As5N,0.13256145880528938,0.0,0.4378109898164253,0.0
Sn8As13S,0.14566316402796572,0.0,0.33502409881612927,0.0
Sn2As4N,0.187505529080899,0.0,0.3426303715834388,0.0
Sn2As3N,0.3325584163288603,1.6745894082543276,0.5219271736763893,0.0
SnAs3N,0.1535576977150493,0.0,0.29226893683325283,0.0
SnAs2N,0.5418848801593104,2.442196964680295,0.7131424248845589,0.0
SnAsN,0.33344681834880063,2.7077765475794533,0.6235214800237487,0.0
Sn10As16S,0.14475038932690087,0.0,0.327752359716059,0.0
Sn9As16S,0.1641671092676974,0.0,0.20299825257603465,0.0
Sn9As15S,0.16282848128918784,0.0,0.19531591651493285,0.0
Sn9As14S,0.14334904010158278,0.0,0.3542365232224618,0.0
Sn8As14S,0.1641470458412033,0.0,0.18349863228349184,0.0
Sn2As5N,0.16892647409118602,0.0,0.2223379337437268,0.0
HfSnAs2,0.497819522533568,2.3870854525032965,0.7885037870000284,0.0
HfSnAs,0.27942297935754457,2.5416622160461984,0.698464728026384,0.0
Ga(Sn5As8)2,0.12571024190749255,0.0,0.441850281034898,0.0
GaSn9As16,0.14319203094596133,0.0,0.2925674225308694,0.0
Ga(Sn3As5)3,0.14219351256992308,0.0,0.2826977268156734,0.0
GaSn8As15,0.14195127859484094,0.0,0.2711365945991694,0.0
Ga(Sn4As7)2,0.1435120771219383,0.0,0.2673500743958822,0.0
GaSn8As13,0.12507596435367788,0.0,0.44995908288275055,0.0
